int_id,name,abbrev,t_age,b_age,int_type,timescales,color
1,Cenozoic,Cz,0,66,era,international intervals--11|international eras--13,#F2F91D
2,Neogene,Ng,2.588,23.03,period,international periods--3|international intervals--11|international intervals covering all time--20,#FFE619
3,Holocene,,0,0.0117,epoch,international epochs--2|international intervals--11|COSUNA--12|Scotese Reconstruction--21,#FEF2E0
4,Pleistocene,Ple,0.0117,2.588,epoch,international epochs--2|custom COSUNA--7|international intervals--11|COSUNA--12|Scotese Reconstruction--21,#FFF2AE
10,Pliocene,Pli,2.588,5.333,epoch,international epochs--2|custom COSUNA--7|international intervals--11|Scotese Reconstruction--21,#FFFF99
11,Piacenzian,,2.588,3.6,age,international ages--1|international intervals--11|COSUNA--12,#FFFFBF
12,Zanclean,,3.6,5.333,age,international ages--1|international intervals--11|COSUNA--12,#FFFFB3
13,Miocene,Mio,5.333,23.03,epoch,international epochs--2|international intervals--11,#FFFF00
14,Messinian,,5.333,7.246,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FFFF73
15,Tortonian,,7.246,11.62,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FFFF66
16,Serravallian,,11.62,13.82,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FFFF59
17,Langhian,,13.82,15.97,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FFFF4D
18,Burdigalian,,15.97,20.44,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FFFF41
19,Aquitanian,,20.44,23.03,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FFFF33
20,Paleogene,Pg,23.03,66,period,international periods--3|international intervals--11|international intervals covering all time--20,#FD9A52
21,Oligocene,Ol,23.03,33.9,epoch,international epochs--2|international intervals--11,#FDC07A
22,Chattian,,23.03,28.1,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FEE6AA
23,Rupelian,,28.1,33.9,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FED99A
24,Eocene,Eo,33.9,56,epoch,international epochs--2|international intervals--11,#FDB46C
25,Priabonian,,33.9,37.8,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FDCDA1
26,Bartonian,,37.8,41.3,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FDC091
27,Lutetian,,41.3,47.8,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FCB482
28,Ypresian,,47.8,56,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FCA773
29,Paleocene,Pal,56,66,epoch,international epochs--2|international intervals--11|Scotese Reconstruction--21,#FDA75F
30,Thanetian,,56,59.2,age,international ages--1|international intervals--11|COSUNA--12,#FDBF6F
31,Danian,,61.6,66,age,international ages--1|custom COSUNA--7|international intervals--11|COSUNA--12,#FDB462
32,Mesozoic,Mz,66,251.902,era,international intervals--11|international eras--13,#67C5CA
33,Cretaceous,K,66,145,period,international periods--3|international intervals--11|international intervals covering all time--20,#7FC64E
34,Late Cretaceous,,66,100.5,epoch,international epochs--2|international intervals--11,#A6D84A
35,Maastrichtian,,66,72.1,age,international ages--1|custom COSUNA--7|international intervals--11|North American Regional--17|Scotese Reconstruction--21,#F2FA8C
