lith_id,name,type,group,class,color,fill,t_units
52,plutonic,plutonic,,igneous,#FF4500,727,120
53,granite,plutonic,felsic,igneous,#FF4208,719,665
54,monzonite,plutonic,felsic,igneous,#FF3F11,719,98
55,granodiorite,plutonic,felsic,igneous,#FF3C19,719,306
56,syenite,plutonic,felsic,igneous,#FF3922,722,63
57,diorite,plutonic,felsic,igneous,#FF362B,727,255
58,tonalite,plutonic,,igneous,#FF3333,727,43
59,gabbro,plutonic,mafic,igneous,#FF303C,722,179
60,foidolite,plutonic,,igneous,#FF2D45,0,0
61,peridotite,plutonic,ultramafic,igneous,#FF2B4D,0,39
62,pyroxenite,plutonic,ultramafic,igneous,#FF2856,0,6
63,volcanic,volcanic,,igneous,#006400,731,745
64,rhyolite,volcanic,felsic,igneous,#096C09,731,328
65,phonolite,volcanic,,igneous,#127512,0,0
66,trachyte,volcanic,felsic,igneous,#1B7D1B,0,16
67,rhyodacite,volcanic,felsic,igneous,#248624,0,6
68,dacite,volcanic,felsic,igneous,#2C8F2C,723,87
69,andesite,volcanic,,igneous,#369736,724,282
70,basalt,volcanic,mafic,igneous,#3FA03F,717,919
71,latite,volcanic,,igneous,#48A948,0,29
72,felsite,volcanic,,igneous,#51B151,0,12
73,mafite,volcanic,,igneous,#59BA59,0,1
74,volcanic glass,volcanic,,igneous,#63C263,0,3
75,ash,volcanic,,igneous,#6CCB6C,711,543
76,tuff,volcanic,,igneous,#75D475,711,743
77,welded tuff,volcanic,,igneous,#7EDC7E,712,18
94,diabase,plutonic,mafic,igneous,#FF255F,717,180
95,igneous,igneous,,igneous,#FF0000,722,142
96,ignimbrite,volcanic,,igneous,#87E587,0,40
99,quartz monzonite,plutonic,felsic,igneous,#FF2267,719,75
100,kimberlite,plutonic,ultramafic,igneous,#FF1F70,0,1
101,anorthosite,plutonic,,igneous,#FF1C79,719,34
102,carbonatite,volcanic,,igneous,#90EE90,0,10
105,troctolite,plutonic,,igneous,#FF1981,0,1
107,lamprophyre,plutonic,,igneous,#FF168A,0,1
108,norite,plutonic,,igneous,#FF1493,0,1
119,tephra,volcanic,,igneous,#75D475,0,2
126,trachyandesite,volcanic,,igneous,#369736,0,0
127,komatiite,plutonic,ultramafic,igneous,#FF2B4D,0,0
128,dunite,plutonic,ultramafic,igneous,#FF2B4D,0,0
129,charnockite,plutonic,,igneous,#FF4208,0,6
130,aplite,plutonic,,igneous,#FF4208,0,0
131,trondhjemite,plutonic,,igneous,#FF3333,0,0
144,monzogranite,plutonic,,igneous,#FF4208,0,2
145,syenogranite,plutonic,felsic,igneous,#FF4208,0,7
149,scoria,volcanic,,igneous,#3FA03F,0,0
150,pumice,volcanic,,igneous,#3FA03F,0,13
151,pegmatite,plutonic,,igneous,#FF4208,0,8
152,dolerite,plutonic,mafic,igneous,#FF255F,717,0
161,mafic,igneous,mafic,igneous,#338033,0,1
163,lherzolite,plutonic,ultramafic,igneous,#ff3355,0,1
164,harzburgite,plutonic,ultramafic,igneous,#ff3355,0,2
165,wehrlite,plutonic,ultramafic,igneous,#ff3355,0,0
166,websterite,plutonic,ultramafic,igneous,#ff3355,0,0
167,orthopyroxenite,plutonic,ultramafic,igneous,#FF2856,0,0
168,clinopyroxenite,plutonic,ultramafic,igneous,#FF2856,0,0
179,obsidian,volcanic,,igneous,#63C263,0,0
186,ankaramite,volcanic,mafic,igneous,#3A993A,717,0
188,agglomerate,volcanic,conglomerates,igneous,#75D475,0,10
189,leucogranite,plutonic,felsic,igneous,#FF4208,719,0
194,bentonite,volcanic,,igneous,#6CCB6C,711,0
196,basanite,volcanic,mafic,igneous,#3FA03F,717,0
197,tuffite,volcanic,,igneous,#75D475,711,0
78,metamorphic,metamorphic,,metamorphic,#8B4513,0,111
79,gneiss,metamorphic,,metamorphic,#8E491B,708,591
80,migmatite,metamorphic,,metamorphic,#914E23,0,62
81,mylonite,metamorphic,,metamorphic,#94532B,0,6
82,slate,metasedimentary,,metamorphic,#985834,703,489
83,phyllite,metasedimentary,mudrocks,metamorphic,#9B5D3C,0,419
84,schist,metamorphic,,metamorphic,#9E6244,705,554
85,quartzite,metasedimentary,sandstones,metamorphic,#A1674C,702,1130
86,amphibolite,metamorphic,,metamorphic,#A56C55,0,162
87,greenstone,metamorphic,,metamorphic,#A8715D,0,146
88,serpentinite,metamorphic,,metamorphic,#AB7665,0,55
89,hornfels,metaigneous,,metamorphic,#AE7B6D,0,5
90,marble,metasedimentary,,metamorphic,#B28076,0,180
98,greenschist,metamorphic,,metamorphic,#B5857E,707,22
109,granofel,metamorphic,,metamorphic,#B88A86,0,23
110,granulite,metamorphic,,metamorphic,#BC8F8F,0,22
118,orthogneiss,metaigneous,,metamorphic,#8E491B,0,16
120,paragneiss,metasedimentary,,metamorphic,#B0805F,0,3
122,metasedimentary,metasedimentary,,metamorphic,#8B4513,0,90
132,eclogite,metaigneous,,metamorphic,#B88A86,0,0
133,metapelite,metasedimentary,,metamorphic,#9B5D3C,0,9
170,metabasalt,metaigneous,,metamorphic,#9B5D3C,0,29
171,metagabbro,metaigneous,,metamorphic,#9B5D3C,0,4
172,cataclasite,cataclastic,,metamorphic,#666600,0,0
173,fault gouge,cataclastic,,metamorphic,#dfbf9f,0,0
174,fault breccia,cataclastic,,metamorphic,#663d00,0,0
175,pseudotachylite,cataclastic,,metamorphic,#4d4d00,0,0
176,blueschist,metaigneous,,metamorphic,#6e422b,0,0
177,skarn,metasedimentary,,metamorphic,#B28076,0,0
178,metavolcanic,metaigneous,,metamorphic,#586f55,0,71
184,metaconglomerate,metasedimentary,conglomerates,metamorphic,#C69500,602,39
185,diatexite,metamorphic,,metamorphic,#914E23,0,0
190,metaigneous,metaigneous,,metamorphic,#B14E4E,722,2
192,metarhyolite,metaigneous,,metamorphic,#0E660E,731,9
193,metagraywacke,metasedimentary,sandstones,metamorphic,#D1B704,0,21
195,metasiltstone,metasedimentary,,metamorphic,#D1B704,0,4
1,siliciclastic,siliciclastic,,sedimentary,#FFF400,670,199
2,gravel,siliciclastic,unconsolidated,sedimentary,#FFAB00,601,908
3,sand,siliciclastic,unconsolidated,sedimentary,#FFCA00,607,3932
4,silt,siliciclastic,unconsolidated,sedimentary,#919AA3,619,2360
5,mud,siliciclastic,unconsolidated,sedimentary,#A7ACB0,641,224
6,claystone,siliciclastic,mudrocks,sedimentary,#B2B5B7,620,406
7,mudstone,siliciclastic,mudrocks,sedimentary,#9CA3AA,620,2096
8,shale,siliciclastic,mudrocks,sedimentary,#7B8896,620,11186
9,siltstone,siliciclastic,mudrocks,sedimentary,#86919D,616,4560
10,sandstone,siliciclastic,sandstones,sedimentary,#FFD500,607,10214
11,arkose,siliciclastic,sandstones,sedimentary,#FFEA00,654,341
12,greywacke,siliciclastic,sandstones,sedimentary,#FFDF00,654,487
14,conglomerate,siliciclastic,conglomerates,sedimentary,#FFC000,602,3491
15,breccia,siliciclastic,conglomerates,sedimentary,#FFB500,603,386
16,diamictite,siliciclastic,conglomerates,sedimentary,#FF9600,682,172
17,mixed carbonate-siliciclastic,carbonate,,sedimentary,#0000FF,674,127
18,carbonate,carbonate,,sedimentary,#0508FD,641,887
19,marl,carbonate,,sedimentary,#0B11FC,623,426
20,lime mudstone,carbonate,Dunham,sedimentary,#111AFB,627,49
21,wackestone,carbonate,Dunham,sedimentary,#1723FA,627,25
22,packstone,carbonate,Dunham,sedimentary,#1D2BF9,628,15
23,grainstone,carbonate,Dunham,sedimentary,#2334F8,629,86
24,boundstone,carbonate,Dunham,sedimentary,#293DF7,627,22
25,floatstone,carbonate,Dunham,sedimentary,#2F46F6,627,0
26,rudstone,carbonate,Dunham,sedimentary,#344EF5,0,0
27,bafflestone,carbonate,Dunham,sedimentary,#3A57F4,0,0
28,bindstone,carbonate,Dunham,sedimentary,#4060F3,0,4
29,framestone,carbonate,Dunham,sedimentary,#4669F2,0,76
30,limestone,carbonate,,sedimentary,#4C71F1,627,8648
31,dolomite,carbonate,,sedimentary,#527AF0,642,3941
32,siderite,carbonate,,sedimentary,#5883EF,0,6
33,ankerite,carbonate,,sedimentary,#5E8CEE,0,0
34,evaporite,evaporite,,sedimentary,#FFB6C1,667,98
35,halite,evaporite,,sedimentary,#F9AFBA,668,213
36,gypsum,evaporite,,sedimentary,#F3A8B3,667,205
37,anhydrite,evaporite,,sedimentary,#EEA2AD,667,560
38,coal,organic,,sedimentary,#000000,658,666
39,peat,organic,,sedimentary,#090F0F,657,33
40,lignite,organic,,sedimentary,#121F1F,657,94
43,anthracite,organic,,sedimentary,#1C2F2F,658,2
44,tar,organic,,sedimentary,#253F3F,0,0
45,chert,chemical,,sedimentary,#CD5C5C,649,1359
46,phosphorite,chemical,,sedimentary,#C96566,0,29
47,ironstone,chemical,,sedimentary,#C66F70,0,38
48,iron formation,chemical,,sedimentary,#C37879,0,70
49,volcaniclastic,siliciclastic,,sedimentary,#FFFF00,714,594
91,argillite,siliciclastic,mudrocks,sedimentary,#708090,0,544
92,chalk,carbonate,,sedimentary,#6495ED,626,1025
93,clay,siliciclastic,unconsolidated,sedimentary,#BEBEBE,0,4781
97,till,siliciclastic,,sedimentary,#FFA000,682,151
103,diatomite,chemical,,sedimentary,#BF8283,653,15
104,calcareous ooze,carbonate,,sedimentary,#BC8B8E,626,1172
106,bauxite,chemical,,sedimentary,#B99598,0,13
111,sedimentary,sedimentary,,sedimentary,#FF8C00,0,42
112,siliceous ooze,chemical,,sedimentary,#CCEDCC,0,516
113,graywacke,siliciclastic,sandstones,sedimentary,#FFDF00,654,51
114,dolostone,carbonate,,sedimentary,#527AF0,0,178
115,micrite,carbonate,Folk,sedimentary,#111AFB,0,9
